,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
10,cI2rGp-aEe8PWPDBsIxwIw,daynes-craft-barbecue-fort-worth,Dayne's Craft Barbecue,https://s3-media4.fl.yelpcdn.com/bphoto/2-qoQ_LmVMggQ1NF0etozg/o.jpg,False,https://www.yelp.com/biz/daynes-craft-barbecue-fort-worth?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,84,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'foodstands', 'title': 'Food Stands'}]",5.0,"{'latitude': 32.72521749601281, 'longitude': -97.49598681127782}",['delivery'],$$,"{'address1': '9840 Camp Bowie W Blvd', 'address2': None, 'address3': '', 'city': 'Fort Worth', 'zip_code': '76116', 'country': 'US', 'state': 'TX', 'display_address': ['9840 Camp Bowie W Blvd', 'Fort Worth, TX 76116']}",+16824720181,(682) 472-0181,72161.56277175315
11,zoMzSQIAXAh_yVMo19_TXQ,limons-restaurant-dallas,Limon's Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/9Kq3jv4_yUc2LPvF6kL-ig/o.jpg,False,https://www.yelp.com/biz/limons-restaurant-dallas?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,157,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'empanadas', 'title': 'Empanadas'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.5,"{'latitude': 32.7496749, 'longitude': -96.8715866}","['delivery', 'pickup']",$$,"{'address1': '3105 W Davis St', 'address2': '', 'address3': '', 'city': 'Dallas', 'zip_code': '75211', 'country': 'US', 'state': 'TX', 'display_address': ['3105 W Davis St', 'Dallas, TX 75211']}",+12143300947,(214) 330-0947,15034.347839551654
12,vOUOAoPRW27oNJFJLhkNNQ,pappas-bros-steakhouse-dallas,Pappas Bros. Steakhouse,https://s3-media4.fl.yelpcdn.com/bphoto/pJjvgTwcEvUcofvyA0r-zQ/o.jpg,False,https://www.yelp.com/biz/pappas-bros-steakhouse-dallas?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,1220,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 32.8668273689937, 'longitude': -96.8977529669342}",['delivery'],$$$$,"{'address1': '10477 Lombardy Ln', 'address2': '', 'address3': '', 'city': 'Dallas', 'zip_code': '75220', 'country': 'US', 'state': 'TX', 'display_address': ['10477 Lombardy Ln', 'Dallas, TX 75220']}",+12143662000,(214) 366-2000,16472.237090838746
13,t5_jvHbw71BnL8RySLeMFQ,devivo-bros-eatery-keller-3,DeVivo Bros. Eatery,https://s3-media1.fl.yelpcdn.com/bphoto/Jj9Dltgb7r0RTaItc0VBVQ/o.jpg,False,https://www.yelp.com/biz/devivo-bros-eatery-keller-3?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,1041,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.5,"{'latitude': 32.92355035212881, 'longitude': -97.25480794002745}","['delivery', 'pickup']",$$,"{'address1': '750 S Main St', 'address2': 'Ste 165', 'address3': '', 'city': 'Keller', 'zip_code': '76248', 'country': 'US', 'state': 'TX', 'display_address': ['750 S Main St', 'Ste 165', 'Keller, TX 76248']}",+18174316890,(817) 431-6890,50265.12755034733
14,IUkFHs9kPUEmkSVaJSIPfw,babes-chicken-dinner-house-roanoke,Babe's Chicken Dinner House,https://s3-media1.fl.yelpcdn.com/bphoto/sbnrvyhN3obgV9dUMT9lwg/o.jpg,False,https://www.yelp.com/biz/babes-chicken-dinner-house-roanoke?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,996,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}]",4.5,"{'latitude': 32.99886, 'longitude': -97.22882}",['delivery'],$$,"{'address1': '104 N Oak St', 'address2': '', 'address3': '', 'city': 'Roanoke', 'zip_code': '76262', 'country': 'US', 'state': 'TX', 'display_address': ['104 N Oak St', 'Roanoke, TX 76262']}",+18174912900,(817) 491-2900,50626.07897522608
15,OY6qbyYqrovzk9qK9TrUDg,scrambler-cafe-murphy-murphy,Scrambler Cafe - Murphy,https://s3-media3.fl.yelpcdn.com/bphoto/wQSQ-ceih3UrZRl6QLaKag/o.jpg,False,https://www.yelp.com/biz/scrambler-cafe-murphy-murphy?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,146,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 33.01185231698113, 'longitude': -96.6048533906046}",[],$$,"{'address1': '231 E Fm 544', 'address2': 'Ste 709', 'address3': '', 'city': 'Murphy', 'zip_code': '75094', 'country': 'US', 'state': 'TX', 'display_address': ['231 E Fm 544', 'Ste 709', 'Murphy, TX 75094']}",+14693675306,(469) 367-5306,24736.49376134126
16,Z1y_Kmy9zbBx4TNkGK1TAg,ka-thai-dallas,Ka Thai,https://s3-media4.fl.yelpcdn.com/bphoto/GR8xWi3C8yC7rzKIA7LVBQ/o.jpg,False,https://www.yelp.com/biz/ka-thai-dallas?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,394,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 32.80291261733748, 'longitude': -96.79951032005457}","['delivery', 'pickup']",$$,"{'address1': '3220 Mckinney Ave', 'address2': 'Ste 120', 'address3': '', 'city': 'Dallas', 'zip_code': '75204', 'country': 'US', 'state': 'TX', 'display_address': ['3220 Mckinney Ave', 'Ste 120', 'Dallas, TX 75204']}",+14692917995,(469) 291-7995,6502.135680421315
17,-Y7lHLK6zVzpS74d92wTBQ,frisco-diner-frisco,Frisco Diner,https://s3-media1.fl.yelpcdn.com/bphoto/Ok6b8RWfIcLqIuueUg3Qew/o.jpg,False,https://www.yelp.com/biz/frisco-diner-frisco?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,503,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 33.15476372578948, 'longitude': -96.83949785325906}",['delivery'],$$,"{'address1': '9250 Dallas Pkwy', 'address2': 'Ste 160', 'address3': '', 'city': 'Frisco', 'zip_code': '75033', 'country': 'US', 'state': 'TX', 'display_address': ['9250 Dallas Pkwy', 'Ste 160', 'Frisco, TX 75033']}",+12146180652,(214) 618-0652,38917.611587316795
18,eTwZfY16pj-8KhE34gKhyQ,sankofa-kitchen-dallas,Sankofa Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/kw0kBnJF5OjDk8PxL2kJ-w/o.jpg,False,https://www.yelp.com/biz/sankofa-kitchen-dallas?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,224,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 32.663179, 'longitude': -96.8751668}",['pickup'],$$,"{'address1': '3333 W Camp Wisdom Rd', 'address2': 'Ste 118', 'address3': None, 'city': 'Dallas', 'zip_code': '75237', 'country': 'US', 'state': 'TX', 'display_address': ['3333 W Camp Wisdom Rd', 'Ste 118', 'Dallas, TX 75237']}",+19722960940,(972) 296-0940,21695.55277238665
19,ueeTNYpc5J6TYvRtj-b5aQ,sunview-cafe-allen,Sunview Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/KgFIK-QLuWn6fU7gXz1ocA/o.jpg,False,https://www.yelp.com/biz/sunview-cafe-allen?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,593,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 33.1292837694205, 'longitude': -96.6738241238548}","['delivery', 'pickup']",$$,"{'address1': '939 W Stacy Rd', 'address2': 'Ste 100', 'address3': '', 'city': 'Allen', 'zip_code': '75013', 'country': 'US', 'state': 'TX', 'display_address': ['939 W Stacy Rd', 'Ste 100', 'Allen, TX 75013']}",+19729547400,(972) 954-7400,35186.635540530006
